#AverageTraffic NetworkDelay MaximumLinkUtilization
0.00000 ? 0.00000
0.02500 0.25353 0.02143
0.05000 0.25431 0.04286
0.07500 0.25511 0.06429
0.10000 0.25594 0.08571
0.12500 0.25680 0.10714
0.15000 0.25769 0.12857
0.17500 0.25861 0.15000
0.20000 0.25956 0.17143
0.22500 0.26055 0.19286
0.25000 0.26157 0.21429
0.27500 0.26263 0.23571
0.30000 0.26374 0.25714
0.32500 0.26489 0.27857
0.35000 0.26609 0.30000
0.37500 0.26734 0.32143
0.40000 0.26864 0.34286
0.42500 0.27001 0.36429
0.45000 0.27144 0.38571
0.47500 0.27294 0.40714
0.50000 0.27451 0.42857
0.52500 0.27617 0.45000
0.55000 0.27792 0.47143
0.57500 0.27977 0.49286
0.60000 0.28173 0.51429
0.62500 0.28381 0.53571
0.65000 0.28602 0.55714
0.67500 0.28839 0.57857
0.70000 0.29092 0.60000
0.72500 0.29365 0.62143
0.75000 0.29660 0.64286
0.77500 0.29979 0.66429
0.80000 0.30329 0.68571
0.82500 0.30701 0.69285
0.85000 0.31088 0.69994
0.87500 0.31492 0.70737
0.90000 0.31916 0.71517
0.92500 0.32364 0.72338
0.95000 0.32839 0.73200
0.97500 0.33346 0.74106
1.00000 0.33892 0.75055
1.02500 0.34481 0.76040
1.05000 0.35122 0.77066
1.07500 0.35824 0.78141
1.10000 0.36600 0.79252
1.12500 0.37464 0.80407
1.15000 0.38437 0.81600
1.17500 0.39543 0.82837
1.20000 0.40818 0.84113
1.22500 0.42311 0.85441
1.25000 0.44093 0.86816
1.27500 0.46269 0.88259
1.30000 0.49009 0.89778
1.32500 0.52606 0.91445
1.35000 0.57610 0.93331
1.37500 0.65233 0.95128
1.40000 0.78846 0.96816
1.42500 1.13759 0.98417
1.45000 643763162304039.10000 1.00014
1.47500 661116588768062.10000 1.04481
1.50000 1311346886400068.20000 1.08951
