#AverageTraffic NetworkDelay MaximumLinkUtilization
0.00001 0.28591 0.00001
0.02501 0.28715 0.02851
0.05001 0.28844 0.05701
0.07501 0.28980 0.08551
0.10001 0.29122 0.11401
0.12501 0.29270 0.14251
0.15001 0.29425 0.17101
0.17501 0.29589 0.19951
0.20001 0.29761 0.22801
0.22501 0.29942 0.25651
0.25001 0.30133 0.28501
0.27501 0.30335 0.31351
0.30001 0.30548 0.34201
0.32501 0.30776 0.37051
0.35001 0.31017 0.39901
0.37501 0.31275 0.42751
0.40001 0.31551 0.45601
0.42501 0.31847 0.48451
0.45001 0.32165 0.51301
0.47501 0.32510 0.54151
0.50001 0.32884 0.57001
0.52501 0.33292 0.59851
0.55001 0.33739 0.62701
0.57501 0.34233 0.65551
0.60001 0.34781 0.68401
0.62501 0.35397 0.71251
0.65001 0.36095 0.74101
0.67501 0.36897 0.76951
0.70001 0.37835 0.79801
0.72501 0.38958 0.82651
0.75001 0.40346 0.85501
0.77501 0.42149 0.88351
0.80001 0.44691 0.91201
0.82501 0.48867 0.94051
0.85001 0.58732 0.96901
0.87501 2.61178 0.99751
0.90001 781706468571428.50000 1.02601
0.92501 781706468571428.80000 1.05451
0.95001 781706468571428.40000 1.08301
0.97501 781706468571428.80000 1.11151
1.00001 781706468571429.10000 1.14001
1.02501 1569127165714286.50000 1.16851
1.05001 3397680308571429.00000 1.19701
1.07501 4042245291428571.50000 1.22551
1.10001 4042245291428571.50000 1.25401
1.12501 4042245291428571.50000 1.28251
1.15001 4042245291428572.50000 1.31101
1.17501 6444506982857142.00000 1.33951
1.20001 7353069325714284.00000 1.36801
1.22501 7353069325714294.00000 1.39651
1.25001 8979338777142855.00000 1.42501
1.27501 8979338777142855.00000 1.45351
1.30001 8979338777142856.00000 1.48201
1.32501 8979338777142856.00000 1.51051
1.35001 8979338777142857.00000 1.53901
1.37501 8979338777142858.00000 1.56751
1.40001 8979338777142857.00000 1.59601
1.42501 8979338777142865.00000 1.62451
1.45001 9543904560000002.00000 1.65301
1.47501 10183898160000000.00000 1.68151
