#AverageTraffic NetworkDelay MaximumLinkUtilization
0.00000 ? 0.00000
0.02500 0.28715 0.02850
0.05000 0.28844 0.05700
0.07500 0.28980 0.08550
0.10000 0.29121 0.11400
0.12500 0.29270 0.14250
0.15000 0.29425 0.17100
0.17500 0.29589 0.19950
0.20000 0.29761 0.22800
0.22500 0.29942 0.25650
0.25000 0.30133 0.28500
0.27500 0.30334 0.31350
0.30000 0.30548 0.34200
0.32500 0.30775 0.37050
0.35000 0.31017 0.39900
0.37500 0.31275 0.42750
0.40000 0.31551 0.45600
0.42500 0.31847 0.48450
0.45000 0.32165 0.51300
0.47500 0.32510 0.54150
0.50000 0.32884 0.57000
0.52500 0.33291 0.59850
0.55000 0.33739 0.62700
0.57500 0.34232 0.65550
0.60000 0.34781 0.68400
0.62500 0.35397 0.71250
0.65000 0.36095 0.74100
0.67500 0.36897 0.76950
0.70000 0.37835 0.79800
0.72500 0.38957 0.82650
0.75000 0.40346 0.85500
0.77500 0.42149 0.88350
0.80000 0.44690 0.91200
0.82500 0.48865 0.94050
0.85000 0.58725 0.96900
0.87500 2.60182 0.99750
0.90000 781706468571428.90000 1.02600
0.92500 781706468571428.80000 1.05450
0.95000 781706468571428.50000 1.08300
0.97500 781706468571428.50000 1.11150
1.00000 781706468571429.10000 1.14000
1.02500 1569127165714286.20000 1.16850
1.05000 3397680308571429.00000 1.19700
1.07500 3344075989351445.00000 1.17988
1.10000 3375343589563792.00000 1.24319
1.12500 3406189287960844.50000 1.30774
1.15000 4042245291428573.00000 1.31100
1.17500 6444506982857144.00000 1.33950
1.20000 7353069325714286.00000 1.36800
1.22500 7353069325714296.00000 1.39650
1.25000 8655406130787535.00000 1.59170
1.27500 8691373885392053.00000 1.64261
1.30000 8725995253460592.00000 1.69354
1.32500 8759077894059544.00000 1.74434
1.35000 8791198829989731.00000 1.79528
1.37500 8821973379384034.00000 1.84613
1.40000 8979338777142857.00000 1.59600
1.42500 8979338777142867.00000 1.62450
1.45000 9543904559999998.00000 1.65300
1.47500 9585943911031158.00000 1.71832
1.50000 9647251297950976.00000 1.80204
