#AverageTraffic NetworkDelay MaximumLinkUtilization
0.00001 0.25277 0.00001
0.02501 0.25353 0.02144
0.05001 0.25431 0.04287
0.07501 0.25511 0.06429
0.10001 0.25594 0.08572
0.12501 0.25680 0.10715
0.15001 0.25769 0.12858
0.17501 0.25861 0.15001
0.20001 0.25956 0.17144
0.22501 0.26055 0.19287
0.25001 0.26157 0.21429
0.27501 0.26263 0.23572
0.30001 0.26374 0.25715
0.32501 0.26489 0.27858
0.35001 0.26609 0.30001
0.37501 0.26734 0.32144
0.40001 0.26864 0.34287
0.42501 0.27001 0.36429
0.45001 0.27144 0.38572
0.47501 0.27294 0.40715
0.50001 0.27451 0.42858
0.52501 0.27617 0.45001
0.55001 0.27792 0.47144
0.57501 0.27977 0.49287
0.60001 0.28173 0.51429
0.62501 0.28381 0.53572
0.65001 0.28602 0.55715
0.67501 0.28839 0.57858
0.70001 0.29092 0.60001
0.72501 0.29365 0.62144
0.75001 0.29660 0.64287
0.77501 0.29980 0.66429
0.80001 0.30329 0.68572
0.82501 0.30712 0.70715
0.85001 0.31136 0.72858
0.87501 0.31610 0.75001
0.90001 0.32144 0.77144
0.92501 0.32753 0.79287
0.95001 0.33458 0.81429
0.97501 0.34290 0.83572
1.00001 0.35296 0.85715
1.02501 0.36552 0.87858
1.05001 0.38188 0.90001
1.07501 0.40462 0.92144
1.10001 0.43968 0.94287
1.12501 0.50542 0.96429
1.15001 0.71642 0.98572
1.17501 799992000000000.60000 1.00715
1.20001 799992000000002.90000 1.02858
1.22501 1691411657142857.20000 1.05001
1.25001 1691411657142857.00000 1.07144
1.27501 1691411657142857.50000 1.09287
1.30001 2226263451428571.50000 1.11429
1.32501 2226263451428571.50000 1.13572
1.35001 2226263451428571.00000 1.15715
1.37501 2226263451428571.50000 1.17858
1.40001 2226263451428571.50000 1.20001
1.42501 2226263451428571.00000 1.22144
1.45001 2226263451428571.50000 1.24287
1.47501 2692544502857142.50000 1.26429
